Навык,Количество,Процент
MDM,1,0.04%
ECM,1,0.04%
EAM,1,0.04%
Управление производством,1,0.04%
Креативность,1,0.04%
Амбициозность,1,0.04%
СЭД DocsVision,1,0.04%
Основы бухгалтерского учета,1,0.04%
Экономический анализ,1,0.04%
murex,1,0.04%
kondor,1,0.04%
radius,1,0.04%
Разработка и формализация необходимых бизнес-процессов,1,0.04%
AML,1,0.04%
MS SharePoint,1,0.04%
Автоматизация документооборота,1,0.04%
Workflow,1,0.04%
BPM,1,0.04%
Business Analysis,1,0.04%
Retail Business Analyst,1,0.04%
Teamleading,1,0.04%
Бизнес аналитика,1,0.04%
AW,1,0.04%
Alpha,1,0.04%
Статистический анализ,1,0.04%
1C,1,0.04%
Draw.io,1,0.04%
чат-боты,1,0.04%
голосовые роботы,1,0.04%
Управленческая отчетность,1,0.04%
Финансовый аудит,1,0.04%
Финансовая стратегия,1,0.04%
Факторный анализ,1,0.04%
План-факт анализ,1,0.04%
Отчетность,1,0.04%
Бухгалтерский учет,1,0.04%
Учет ценных бумаг,1,0.04%
Доверительное управление,1,0.04%
Retail,1,0.04%
Data Insights Analyst,1,0.04%
Business intelligence,1,0.04%
Analytics Consultant,1,0.04%
Организованность,1,0.04%
Желание развиваться,1,0.04%
Удаленное администрирование,1,0.04%
Понимание построения БД,1,0.04%
агрегация данных,1,0.04%
построения схем бизнес-процессов,1,0.04%
Agile-методологий,1,0.04%
Интеграция программных модулей,1,0.04%
Электронный архив,1,0.04%
Сопровождение клиентов,1,0.04%
Битрикс 24,1,0.04%
Терпеливость,1,0.04%
Сосредоточенность,1,0.04%
1С: УНФ,1,0.04%
Grafana,1,0.04%
InfluxDB,1,0.04%
Kafka,1,0.04%
Финансовые показатели,1,0.04%
Финансовый менеджмент,1,0.04%
Исследования рынка,1,0.04%
Исследование потребительских предпочтений,1,0.04%
Бенчмаркинг,1,0.04%
Маркетинговые исследования,1,0.04%
Консалтинг,1,0.04%
Storm,1,0.04%
Составление ТЗ,1,0.04%
Trello,1,0.04%
Высшее образование,1,0.04%
Бухгалтерская отчетность,1,0.04%
Консолидация финансовой отчетности,1,0.04%
битрикс,1,0.04%
Внедрение битрикс24,1,0.04%
СЭД,1,0.04%
DocsVision,1,0.04%
Организационная структура,1,0.04%
Business Analyst,1,0.04%
Gambling Industry,1,0.04%
iGaming,1,0.04%
ORACLE,1,0.04%
Написание макросов,1,0.04%
Написание промтов,1,0.04%
Подготовка БТ,1,0.04%
ИИ,1,0.04%
Теория вероятностей,1,0.04%
Интеграция IT систем,1,0.04%
iOS,1,0.04%
Android,1,0.04%
ЭДО,1,0.04%
Access,1,0.04%
Конкурентная аналитика,1,0.04%
Стратегический консалтинг,1,0.04%
SWOT,1,0.04%
Различные методы анализа,1,0.04%
Ad Hoc Analysis,1,0.04%
разработка нормативных документов,1,0.04%
Разработка банковского продукта,1,0.04%
Сопровождение продукта,1,0.04%
Выявление потребностей,1,0.04%
1С: УСН,1,0.04%
Веб-аналитика,1,0.04%
Системная аналитика,1,0.04%
EGGHEADS,1,0.04%
MPSTATAS,1,0.04%
ABC/XYZ,1,0.04%
сводные таблицы,1,0.04%
Нормативно-техническая документация,1,0.04%
MVP,1,0.04%
Целеустремленность,1,0.04%
VueJS,1,0.04%
PHP,1,0.04%
Project Expert,1,0.04%
Сбор требований для составления ТЗ,1,0.04%
Методология тестирования,1,0.04%
Basic Flowchart,1,0.04%
Cross-functional,1,0.04%
Анализ обратной связи,1,0.04%
Бизнес-Инженер,1,0.04%
eEPC,1,0.04%
BPMN 2.0,1,0.04%
BPM CBOK,1,0.04%
Процессные совещания,1,0.04%
Разработка внутренних нормативных документов,1,0.04%
SCORE,1,0.04%
Radius,1,0.04%
Murex,1,0.04%
Проработка требований,1,0.04%
Координирование процессов,1,0.04%
Проектная и техническая документация,1,0.04%
Работа с претензиями,1,0.04%
Работа с юридическими лицами,1,0.04%
Helpdesk,1,0.04%
Консультирование клиентов по телефону,1,0.04%
Знание методик тестирования,1,0.04%
Визуализация процессов,1,0.04%
Систематизация требований,1,0.04%
Структурирование информации,1,0.04%
HTTP,1,0.04%
Gitlab,1,0.04%
Блок-схемы,1,0.04%
Инвестиционная деятельность,1,0.04%
Фондовый рынок,1,0.04%
Системное тестирование,1,0.04%
Контроль выполнения задач,1,0.04%
Data Research,1,0.04%
Bizagi,1,0.04%
CREATIO,1,0.04%
Микросервисная архитектура,1,0.04%
Apache Kafka,1,0.04%
А/В,1,0.04%
Superset,1,0.04%
Аналитик 1С,1,0.04%
1С: Склад,1,0.04%
1С: Торговля и склад,1,0.04%
Six Sigma,1,0.04%
Kondor,1,0.04%
Archimate Modelling Language,1,0.04%
архитектура предприятия,1,0.04%
BPML,1,0.04%
GAP-анализ,1,0.04%
EMV,1,0.04%
PCI DSS,1,0.04%
ArchiMate,1,0.04%
Международные платежные системы,1,0.04%
POS,1,0.04%
Эквайринг,1,0.04%
Управление отношениями с клиентами,1,0.04%
BABOK,1,0.04%
ELMA,1,0.04%
Ценные бумаги,1,0.04%
брокерская деятельность,1,0.04%
дилерская деятельность,1,0.04%
маркетплейсы,1,0.04%
ABC-анализ,1,0.04%
Pest-Анализ,1,0.04%
Оптимизация логистических процессов,1,0.04%
Транспортная логистика,1,0.04%
Логистика,1,0.04%
Описание бизнес требований,1,0.04%
АБС ЦФТ,1,0.04%
Производственное планирование,1,0.04%
ERP Systems,1,0.04%
Tasks Tracking Sytems,1,0.04%
EPCIS,1,0.04%
архитектура бизнес-процессов,1,0.04%
процессное управление,1,0.04%
процессный подход к управлению,1,0.04%
Управление бэклогом,1,0.04%
Vertica,1,0.04%
Logstash,1,0.04%
