Навык,Количество,Процент
Python,3,0.07%
Управленческие навыки,3,0.07%
Исполнительность,3,0.07%
Антикризисное управление,3,0.07%
IFRS,3,0.07%
Аналитика продаж,3,0.07%
ACCA,2,0.05%
CFA,2,0.05%
User Story,2,0.05%
Отчет о целевом использовании средств,2,0.05%
Работа с клиентами,2,0.05%
Сводные таблицы,2,0.05%
Оценка рисков,2,0.05%
MS SQL,2,0.05%
Холодные продажи,2,0.05%
Сбор и анализ информации,2,0.05%
Оптимизация воронки продаж,2,0.05%
Моделирование бизнес-процессов,2,0.05%
Договорная работа,2,0.05%
Главбух,2,0.05%
МСП,2,0.05%
1С: Зарплата и управление персоналом,2,0.05%
iiko,2,0.05%
Баланс,2,0.05%
ДДС,2,0.05%
Банковские операции,2,0.05%
Базы данных,2,0.05%
B2B Продажи,2,0.05%
Финансы,2,0.05%
Коммерция,2,0.05%
1С: Бухгалтерия и склад,2,0.05%
Работа в условиях многозадачности,2,0.05%
Экономическое моделирование,2,0.05%
Аналитические способности,2,0.05%
Ценные бумаги,2,0.05%
Телефонные переговоры,2,0.05%
Финтабло,2,0.05%
Способность обучать других,2,0.05%
Инвестиционная экспертиза,2,0.05%
1С: Торговля и склад,2,0.05%
Андеррайтинг,2,0.05%
Аналитика маркетплейсов,2,0.05%
Расчеты с поставщиками и подрядчиками,2,0.05%
NPV,2,0.05%
Расчет себестоимости,2,0.05%
Пунктуальность,2,0.05%
Креативность,2,0.05%
CF,2,0.05%
Бухгалтерский учёт,2,0.05%
Умение работать в условиях многозадачности,2,0.05%
Дебиторская задолженность,2,0.05%
Кредиторская задолженность,2,0.05%
Кредитные договора,2,0.05%
МСБ,2,0.05%
MS Outlook,2,0.05%
Unit-экономика,2,0.05%
Оценка эффективности промо акций,2,0.05%
Анализ эффективности инвестиционных проектов,2,0.05%
Описание бизнес-процессов,2,0.05%
Делопроизводство,2,0.05%
Интерпретация данных,2,0.05%
Грамотная устная речь,2,0.05%
Разработка ценовой политики,2,0.05%
Работа с системами аналитики,2,0.05%
1С: Комплексная автоматизация,2,0.05%
PnL,2,0.05%
Проведение презентаций,2,0.05%
Расчеты с покупателями и заказчиками,2,0.05%
Анализ конкурентной среды,2,0.05%
консолидация управленческой отчетности,2,0.05%
Теплые продажи,2,0.05%
Консультирование клиентов,2,0.05%
Основные средства,2,0.05%
Налог на прибыль,2,0.05%
Учёт основных средств,2,0.05%
MS Word,2,0.05%
Google Docs,2,0.05%
Согласование договоров,2,0.05%
Кредитование юридических лиц,2,0.05%
Работа с базами данных,2,0.05%
Разработка бизнес-модели,2,0.05%
Биржевые торги,2,0.05%
Инвестиционная стратегия,2,0.05%
Привлечение банковского финансирования,2,0.05%
Портфельный анализ,2,0.05%
Автоматизация,2,0.05%
Аналитические тексты,2,0.05%
Планирование денежных потоков,2,0.05%
Восстановление бухгалтерского учета,2,0.05%
Проектное финансирование,2,0.05%
Консолидация отчетности по РСБУ,2,0.05%
Навыки продаж,2,0.05%
Умение работать с большим объемом информации,2,0.05%
Аккуратность,2,0.05%
Стратегический менеджмент,2,0.05%
Разработка технических заданий,2,0.05%
Постановка задач разработчикам,2,0.05%
Автоматизация процессов,2,0.05%
Расчет и анализ себестоимости продукции и услуг,2,0.05%
Планирование ресурсов,2,0.05%
Ориентация на результат,2,0.05%
Исследовательский анализ данных,2,0.05%
AXAPTA,2,0.05%
Управление бизнес процессами,2,0.05%
ERP,2,0.05%
1 С,2,0.05%
Консультант плюс,2,0.05%
Архивирование документов,2,0.05%
Развитие продаж,2,0.05%
Стратегия продаж,2,0.05%
Ведение клиентской базы,1,0.02%
Прогнозирование продаж,1,0.02%
Аудит продаж,1,0.02%
Подготовка коммерческих предложений,1,0.02%
Wildberries,1,0.02%
Ozon,1,0.02%
A/B тесты,1,0.02%
Управление ассортиментом,1,0.02%
Инфлюенс-маркетинг,1,0.02%
CRM-маркетинг,1,0.02%
Валютные платежи,1,0.02%
Исполнение бюджетов,1,0.02%
Бюджетные лимиты,1,0.02%
Финансовые документы,1,0.02%
Анализ доходов и расходов,1,0.02%
Финансовые риски,1,0.02%
Трейд-маркетинговая стратегия,1,0.02%
Трейд-маркетинг,1,0.02%
Оптимизация маркетинговых кампаний,1,0.02%
Целевой маркетинг,1,0.02%
Внутренний маркетинг,1,0.02%
Разработка маркетинговых кампаний,1,0.02%
Запуск маркетинговых кампаний,1,0.02%
Анализ эффективности маркетинговых кампаний,1,0.02%
Business Writing,1,0.02%
Ведение базы данных,1,0.02%
Финансовый учет,1,0.02%
Факторинг,1,0.02%
Directum,1,0.02%
MySQL,1,0.02%
Управление проектами,1,0.02%
Debt / EBITDA,1,0.02%
Финансовое моделирование в Excel,1,0.02%
"Кассовый поток (DCF, FCF)",1,0.02%
кредитные риски,1,0.02%
Разработка методологии управленческого учета,1,0.02%
Международные платежи,1,0.02%
Контроль финансовых рисков,1,0.02%
Криптовалюта,1,0.02%
Ведение финансовой отчетности,1,0.02%
Позитивное мышление,1,0.02%
Уверенный пользователь Excel,1,0.02%
Исполнение личных поручений руководителя,1,0.02%
Работа с банками,1,0.02%
Коммуникации с инвесторами,1,0.02%
рентабельность,1,0.02%
1С: Управление предприятием,1,0.02%
Управление знаниями‎,1,0.02%
Производственная стратегия,1,0.02%
Управление инновациями,1,0.02%
