Навык,Количество,Процент
Лидерство,3,0.07%
Контроль и анализ ценообразования,3,0.07%
Навыки продаж,3,0.07%
Git,3,0.07%
DWH,3,0.07%
Грамотность,3,0.07%
Оптимизация воронки продаж,3,0.07%
Business Intelligence Systems,3,0.07%
Веб-аналитика,3,0.07%
Математическое моделирование,3,0.07%
Точность и внимательность к деталям,3,0.07%
Управление организационными изменениями,3,0.07%
1C,3,0.07%
Информационные технологии,3,0.07%
MVP,3,0.07%
Стратегия управления рисками,3,0.07%
Управление рисками,3,0.07%
Конкурентная аналитика,3,0.07%
OLAP,3,0.07%
СУБД,3,0.07%
Apache Kafka,3,0.07%
Разработка ПО,3,0.07%
Ценные бумаги,3,0.07%
CustDev,3,0.07%
Ценообразование,3,0.07%
Oracle Pl/SQL,3,0.07%
Анализ ФХД,3,0.07%
Стратегия продаж,3,0.07%
Регламентированный учет,3,0.07%
MS Power BI,3,0.07%
Управленческий учет,3,0.07%
Клиентоориентированность,2,0.05%
Автоматизация продаж,2,0.05%
ЦФТ,2,0.05%
BPML,2,0.05%
OpenAPI,2,0.05%
Написание инструкций,2,0.05%
Оценка потребностей клиентов,2,0.05%
Техническая поддержка,2,0.05%
ITIL,2,0.05%
PMBOK,2,0.05%
архитектура бизнес-процессов,2,0.05%
процессное управление,2,0.05%
ITSM,2,0.05%
процессный подход к управлению,2,0.05%
Оптимизация логистических процессов,2,0.05%
BRD,2,0.05%
Организованность,2,0.05%
1C ERP,2,0.05%
Сводные таблицы,2,0.05%
бизнес-аналитик,2,0.05%
Работа в условиях многозадачности,2,0.05%
Консалтинг,2,0.05%
Тайм-менеджмент,2,0.05%
ПОД/ФТ,2,0.05%
1C: Бухгалтерия,2,0.05%
Маркетинговые метрики,2,0.05%
Многозадачность,2,0.05%
владелец продукта,2,0.05%
Email-маркетинг,2,0.05%
Знание работы ПК,2,0.05%
Автоматизация документооборота,2,0.05%
BPM,2,0.05%
Directum,2,0.05%
Основы бухгалтерского учета,2,0.05%
Интеграция IT систем,2,0.05%
Активные продажи,2,0.05%
SAP,2,0.05%
Работа с требованиями,2,0.05%
Проектная документация,2,0.05%
Составление ТЗ,2,0.05%
Аналитика маркетплейсов,2,0.05%
Алгоритмы и структуры данных,2,0.05%
MySQL,2,0.05%
Сопровождение 1С,2,0.05%
Участие в проектах внедрения/развития систем,2,0.05%
Проектная деятельность,2,0.05%
Bizagi,2,0.05%
Умение работать в условиях многозадачности,2,0.05%
Анализ ценообразования,2,0.05%
JTBD,2,0.05%
Работа с системами аналитики,2,0.05%
Trello,2,0.05%
Маркетинговый анализ,2,0.05%
Google Analytics,2,0.05%
Olap (online analytical processing),2,0.05%
Работоспособность,2,0.05%
Low-code,2,0.05%
ЭДО,2,0.05%
Отчет о финансовых результатах,2,0.05%
Ведение проектной документации,2,0.05%
Математический анализ,2,0.05%
Access,2,0.05%
СЭД,2,0.05%
MDM,2,0.05%
calypso,2,0.05%
Налоговый учет,2,0.05%
ООП,2,0.05%
ELMA,2,0.05%
Бизнес-процессы,2,0.05%
Умение работать с большим объемом информации,2,0.05%
Нормативно-техническая документация,2,0.05%
DataLens,2,0.05%
Разработка инструкций,2,0.05%
Умение общаться с людьми,2,0.05%
Гибкость мышления,2,0.05%
Организационный дизайн,2,0.05%
Six Sigma,2,0.05%
Подбор персонала,2,0.05%
B2C маркетинг,2,0.05%
Уверенный пользователь ПК,2,0.05%
Сводные,2,0.05%
Anaplan,2,0.05%
Яндекс.Метрика,2,0.05%
Долгосрочное бюджетирование и планирование,2,0.05%
