Навык,Количество,Процент
Разработка бизнес-модели,3,0.06%
Умение работать в условиях многозадачности,3,0.06%
Формирование технического задания для разработки,3,0.06%
Запуск маркетинговых кампаний,3,0.06%
Лидерство,3,0.06%
Обучение персонала,3,0.06%
База данных: Oracle,3,0.06%
Аналитика продаж,3,0.06%
Построение воронки продаж,3,0.06%
Выявление потребностей,3,0.06%
React,3,0.06%
Анализ рынка,3,0.06%
Работа с клиентами,3,0.06%
Olap (online analytical processing),3,0.06%
Автоматизация маркетинговых кампаний,3,0.06%
Ценообразование,3,0.06%
Разработка на платформе «1С: Предприятие 8.3»,3,0.06%
Сопровождение 1С: ЗУП,3,0.06%
ООП,3,0.06%
Развитие 1С: ЗУП,3,0.06%
SEO-тексты,3,0.06%
Оптимизация кода,3,0.06%
ML,3,0.06%
NoSQL,3,0.06%
1С: Розница,3,0.06%
Golang,3,0.06%
ГОСТ 19,3,0.06%
amoCRM,3,0.06%
Контекстная реклама,3,0.06%
Исследовательский анализ данных,3,0.06%
Яндекс.Директ,3,0.06%
WMS,3,0.06%
БИТ.ФИНАНС,3,0.06%
EPC,3,0.06%
Kotlin,3,0.06%
Управление ожиданиями,3,0.06%
MongoDB,3,0.06%
Specifications,3,0.06%
Управление отношениями с клиентами,3,0.06%
DDD,3,0.06%
Visio,3,0.06%
MS SQL Server,3,0.06%
Стрессоустойчивость,3,0.06%
TCP/IP,3,0.06%
Высшее образование,3,0.06%
Оценка потребностей клиентов,3,0.06%
Разработка регламентов,3,0.06%
iOS,3,0.06%
Системный аналитик,3,0.06%
Разработка проектных документов,3,0.06%
Знание информационной системы 1С УНФ,3,0.06%
System Analysis,3,0.06%
Анализ бизнес показателей,3,0.06%
HTML,3,0.06%
Заключение договоров,2,0.04%
Учет остатков,2,0.04%
WEB аналитика,2,0.04%
написание документации,2,0.04%
CRM-маркетинг,2,0.04%
работа с бизнес заказчиками и пользователями,2,0.04%
PCI DSS,2,0.04%
работа с разработчиками и тестировщиками,2,0.04%
Zabbix,2,0.04%
формилирование бизнес требований,2,0.04%
Работа с системами аналитики,2,0.04%
Нормативно-техническая документация,2,0.04%
Бизнес-планирование,2,0.04%
Навыки переговоров,2,0.04%
Управление интернет-проектами,2,0.04%
HTML5,2,0.04%
Организация мероприятий,2,0.04%
Project management,2,0.04%
Хранилища данных,2,0.04%
Проведение презентаций,2,0.04%
Работа с требованиями,2,0.04%
MDM,2,0.04%
Транспортная логистика,2,0.04%
Складская логистика,2,0.04%
Оптимизация логистических процессов,2,0.04%
Математическая статистика,2,0.04%
1C: Зарплата и кадры,2,0.04%
ЦФТ-Банк,2,0.04%
Написание ТЗ,2,0.04%
SaaS,2,0.04%
Roadmap,2,0.04%
Tableau,2,0.04%
SDLC,2,0.04%
Spark,2,0.04%
BPM,2,0.04%
Проектная деятельность,2,0.04%
Коммуникабельность,2,0.04%
gRPC,2,0.04%
ITIL,2,0.04%
1С ERP,2,0.04%
1C УХ,2,0.04%
Умение работать с большим объемом информации,2,0.04%
WSDL,2,0.04%
системный аналитик,2,0.04%
User Story Mapping,2,0.04%
Управление временем,2,0.04%
SmartVista,2,0.04%
Интеграционное тестирование,2,0.04%
Тестирование,2,0.04%
1С: Предприятие: Бухгалтерский Учет,2,0.04%
Redis,2,0.04%
СБП,2,0.04%
Стратегическое планирование,2,0.04%
Gitlab,2,0.04%
Логистика,2,0.04%
ЭДО,2,0.04%
Bash,2,0.04%
Excel,2,0.04%
Data Analysis,2,0.04%
pandas,2,0.04%
SQL запросы,2,0.04%
C4,2,0.04%
OpenWay Way4,2,0.04%
1С: Зарплата и кадры,2,0.04%
Аналитик 1С,2,0.04%
CSS,2,0.04%
Bitrix24,2,0.04%
ER-диаграммы,2,0.04%
Продуктовые метрики,2,0.04%
Управление стейкхолдерами,2,0.04%
B2C-маркетинг,2,0.04%
Яндекс.Метрика,2,0.04%
Электронный документооборот,2,0.04%
Google Analytics,2,0.04%
Лидогенерация,2,0.04%
Проектирование пользовательских интерфейсов,2,0.04%
Разработка нового продукта,2,0.04%
Копирайтинг,2,0.04%
Управление производством,2,0.04%
Инвестиционное планирование,2,0.04%
Финансовая отчетность,2,0.04%
Email-маркетинг,2,0.04%
Unit-экономика,2,0.04%
Составление семантического ядра,2,0.04%
Аналитика маркетплейсов,2,0.04%
Внутренняя реклама,2,0.04%
JAICP,2,0.04%
Управление затратами,2,0.04%
Работа с http/web-сервисами,2,0.04%
*.yaml,2,0.04%
ИТИЛИУМ,2,0.04%
ITILIUM,2,0.04%
Развитие продаж,2,0.04%
Проектная документация,2,0.04%
BPML,2,0.04%
Notion,2,0.04%
Составление ТЗ,2,0.04%
Взаимодействие с разработчиками 1С,2,0.04%
Управление персоналом,2,0.04%
Бухгалтерский учет,2,0.04%
Разработка в системе 1С: УТ,2,0.04%
Адаптивная верстка,2,0.04%
E-Commerce,2,0.04%
Системность,2,0.04%
Проведение собеседований,2,0.04%
UX/UI,2,0.04%
Внутренние коммуникации,2,0.04%
Маркетинговые метрики,2,0.04%
Целевой маркетинг,2,0.04%
Подготовка презентаций,2,0.04%
Продуктовая стратегия,2,0.04%
Навыки коммуникации,2,0.04%
Puppet,2,0.04%
Ansible,2,0.04%
Сводные таблицы,2,0.04%
Многозадачность,2,0.04%
Адаптация персонала,2,0.04%
Графические редакторы,2,0.04%
Оптимизация воронки продаж,2,0.04%
TypeScript,2,0.04%
Swift,2,0.04%
Активные продажи,2,0.04%
SOLID,2,0.04%
Организация промо акций,2,0.04%
Компенсации и льготы,2,0.04%
Бюджетирование ФОТ,2,0.04%
Мотивация сотрудников,2,0.04%
Проведение опросов,2,0.04%
Стратегический менеджмент,2,0.04%
Transact-SQL,2,0.04%
ESB,2,0.04%
Тестирование разработок,2,0.04%
Маркетинговые исследования,2,0.04%
Управление знаниями‎,2,0.04%
Интернет-маркетинг,2,0.04%
GSM,2,0.04%
LTE,2,0.04%
3GPP,2,0.04%
Base Station Subsystem,2,0.04%
5G,2,0.04%
СХД,2,0.04%
SAN,2,0.04%
VMware,2,0.04%
Cognos BI,2,0.04%
QlikSense,2,0.04%
DataLens,2,0.04%
Прогнозирование спроса,2,0.04%
Работа в условиях многозадачности,2,0.04%
ER-модели,1,0.02%
low-code,1,0.02%
Цифровая трансформация,1,0.02%
АБС,1,0.02%
"XML/JSON, XSD/JSON Schema",1,0.02%
Graylog,1,0.02%
b-link,1,0.02%
4,1,0.02%
Сетевые протоколы,1,0.02%
TCP,1,0.02%
Креативность,1,0.02%
UML/С4,1,0.02%
SOAP/REST,1,0.02%
Apache Airflow,1,0.02%
QlikView,1,0.02%
Qlik Sense,1,0.02%
Apache NiFi,1,0.02%
MS Axapta,1,0.02%
Планирование карьеры,1,0.02%
BPWin,1,0.02%
Bizagi,1,0.02%
Kibana,1,0.02%
NATS,1,0.02%
CONFLUENCE,1,0.02%
JIRA,1,0.02%
"select, join, update, insert, case",1,0.02%
data base,1,0.02%
жизненный цикл ПО,1,0.02%
Веб-программирование,1,0.02%
openAPI,1,0.02%
GitLab CI,1,0.02%
Консультант 1С,1,0.02%
EJM,1,0.02%
Систематизация данных,1,0.02%
SIP,1,0.02%
Описание интеграций,1,0.02%
"SOAP, REST, Kafka",1,0.02%
ETL/ELT,1,0.02%
Prometheus,1,0.02%
BPMSoft,1,0.02%
анализ бизнес требований,1,0.02%
ЦФТ,1,0.02%
Сбор обратной связи по продукту,1,0.02%
Websoft,1,0.02%
Webtutor,1,0.02%
Глобальные рынки,1,0.02%
Финансовые рынки,1,0.02%
C++,1,0.02%
AOSP,1,0.02%
YouTreck,1,0.02%
REST/Web,1,0.02%
Внедрение систем информационной безопасности,1,0.02%
Планирование,1,0.02%
Реализация проектов,1,0.02%
Rabbit MQ,1,0.02%
Бизнес-аналитика,1,0.02%
Phyton,1,0.02%
Продвинутый пользователь ПК,1,0.02%
архитектурная документация,1,0.02%
Tieto,1,0.02%
Compas+,1,0.02%
Процессинг,1,0.02%
Эквайринг,1,0.02%
Equation,1,0.02%
AS 400,1,0.02%
ГИС,1,0.02%
SVN,1,0.02%
Ценные бумаги,1,0.02%
Bitbucket,1,0.02%
Сетевые технологии,1,0.02%
поддержка,1,0.02%
поддержка веб-сервисов,1,0.02%
DBeaver,1,0.02%
Проектная и техническая документация,1,0.02%
Координирование процессов,1,0.02%
Проработка требований,1,0.02%
Стратегическое мышление,1,0.02%
Управление процессами,1,0.02%
Проектный менеджмент,1,0.02%
curl,1,0.02%
Lowcode,1,0.02%
DFD,1,0.02%
Apache Superset,1,0.02%
Use cases,1,0.02%
User stories,1,0.02%
Nagios,1,0.02%
методы мониторинга,1,0.02%
IT Monitoring,1,0.02%
Виртуализация,1,0.02%
Система быстрых платежей,1,0.02%
Anyway,1,0.02%
"User Story Mapping,",1,0.02%
UI/UX проектирование,1,0.02%
Умение принимать решения,1,0.02%
Аналитические способности,1,0.02%
MRP,1,0.02%
Прогнозирование,1,0.02%
РД,1,0.02%
Анализ обратной связи,1,0.02%
use cases,1,0.02%
сценарии использования,1,0.02%
Спецификация требований,1,0.02%
Бюджетирование,1,0.02%
Финансовое планирование,1,0.02%
insomnia,1,0.02%
Анализ рисков,1,0.02%
users stories,1,0.02%
1C: Управление холдингом,1,0.02%
BusinessStudio,1,0.02%
web-сервисы,1,0.02%
Jobs To Be Done,1,0.02%
BRD,1,0.02%
Sequence,1,0.02%
ER диаграммы,1,0.02%
fintech,1,0.02%
DML,1,0.02%
DDL,1,0.02%
Описание функциональных требований,1,0.02%
IBSO,1,0.02%
SSH,1,0.02%
Cassandra,1,0.02%
Apache Cassandra,1,0.02%
Работа с заказчиками,1,0.02%
Опытная эксплуатация,1,0.02%
Нотации,1,0.02%
Teradata,1,0.02%
ELMA,1,0.02%
RPA,1,0.02%
Автоматизация юридических процессов,1,0.02%
База знаний,1,0.02%
Node.js,1,0.02%
Flutter,1,0.02%
MSA,1,0.02%
Описание логической модели баз данных,1,0.02%
Управление складскими запасами,1,0.02%
Оптимизация товарных запасов,1,0.02%
1С управление холдингом,1,0.02%
Системный анализ в 1С,1,0.02%
Сбор и формализация требований,1,0.02%
Тестирование по тест-кейсам,1,0.02%
Честный Знак,1,0.02%
Меркурий,1,0.02%
ЕГАИС,1,0.02%
Обучение пользователей 1С,1,0.02%
Mindbox,1,0.02%
Сбор пользовательских требований,1,0.02%
удаленная работа,1,0.02%
синтаксис Геркина,1,0.02%
CRM Битрикс24,1,0.02%
Организационное консультирование,1,0.02%
Обучение,1,0.02%
1C: Предприятие,1,0.02%
Обучение пользователей,1,0.02%
Moodle,1,0.02%
Адаптивное планирование,1,0.02%
Написание требований,1,0.02%
MVP,1,0.02%
1С: Торговля и склад,1,0.02%
Складской Учет,1,0.02%
1С: Склад,1,0.02%
Сегментирование аудитории,1,0.02%
Разработка базы знаний,1,0.02%
Разработка внутренней документации,1,0.02%
Реинжиниринг бизнес-процессов,1,0.02%
Asana,1,0.02%
 Формализация требований к программному обеспечению,1,0.02%
Apache Velocity,1,0.02%
MS Access,1,0.02%
Разработка эксплуатационной документации,1,0.02%
Retail,1,0.02%
Интеграции,1,0.02%
Анализ целевой аудитории,1,0.02%
PySpark,1,0.02%
МСФО,1,0.02%
Наставничество,1,0.02%
Функциональный аналитик,1,0.02%
Аналитик,1,0.02%
MS Outlook,1,0.02%
Линейная алгебра,1,0.02%
