Навык,Количество,Процент
Выставление счетов,1,0.03%
координация бэк офиса,1,0.03%
организация клиентских мероприятий,1,0.03%
Event Management,1,0.03%
Планирование маркетинговых кампаний,1,0.03%
Маркетинговые коммуникации,1,0.03%
Интернет-реклама,1,0.03%
Интернет маркетинг,1,0.03%
Формирование бюджета,1,0.03%
график производства работ,1,0.03%
взаимодействие с подрядчиками,1,0.03%
Уверенный пользователь компьютера,1,0.03%
реализация проекта,1,0.03%
Авансовые отчеты,1,0.03%
Аутсорсинг,1,0.03%
Бюджет проекта,1,0.03%
проектирование жилых зданий,1,0.03%
"Проектирование социальных объектов (школы, детские сады, ФОК)",1,0.03%
Разработка графиков проектирования,1,0.03%
Прохождение государственной экспертизы,1,0.03%
Helpdesk,1,0.03%
Mindbox,1,0.03%
Техническая экспертиза,1,0.03%
Анализ эффективности инвестиционных проектов,1,0.03%
1С: Предприятие: Управление строительной организацией,1,0.03%
Жилая недвижимость,1,0.03%
Первичная документация,1,0.03%
Эксплуатация офисных помещений,1,0.03%
Проведение собеседований,1,0.03%
Планирование карьеры,1,0.03%
Прогнозирование продаж,1,0.03%
Работа с возражениями,1,0.03%
Кросс-продажи,1,0.03%
Функции технического заказчика,1,0.03%
Управление разработкой,1,0.03%
Строительные расчеты,1,0.03%
Уверенность,1,0.03%
Аккуратность,1,0.03%
Активность,1,0.03%
QA,1,0.03%
CI/CD,1,0.03%
OKR,1,0.03%
CMMI,1,0.03%
Start-up project,1,0.03%
MS Word,1,0.03%
Управление лояльностью потребителей,1,0.03%
A/B тесты,1,0.03%
Высокая трудоспособность,1,0.03%
Координация проектов,1,0.03%
Тестирование,1,0.03%
Управление закупками,1,0.03%
MySQL,1,0.03%
JavaScript,1,0.03%
PHP,1,0.03%
Оптимизация воронки продаж,1,0.03%
Работоспособность,1,0.03%
Организация пресс-конференций,1,0.03%
Взаимодействие с блогерами,1,0.03%
PR,1,0.03%
АСУТП,1,0.03%
Коммуникационная стратегия,1,0.03%
креативные проекты,1,0.03%
Визуальные коммуникации,1,0.03%
Риск-менеджмент,1,0.03%
Административная поддержка руководителя,1,0.03%
Составление договоров,1,0.03%
Сопровождение сделок,1,0.03%
Программы лояльности для клиентов,1,0.03%
Проведение опросов клиентов,1,0.03%
Построение плана,1,0.03%
VPN,1,0.03%
Автоматизация продаж,1,0.03%
Анализ данных,1,0.03%
Электромонтажные работы,1,0.03%
Самоорганизованность,1,0.03%
Внутренний контроль,1,0.03%
